model_name,condition,column,manual,recomputed,abs_diff
CP_REPO_RIDGE_OPS_R,same_average_recent_front_loaded,n_assets,1.0,10.0,9.0
CP_REPO_RIDGE_OPS_R,stable_low_dispersion,n_assets,1.0,10.0,9.0
HAR_RV,all_observations,n_assets,1.0,10.0,9.0
HAR_RV,cluster_entry_loose,n_assets,1.0,10.0,9.0
HAR_RV,cluster_entry_strict,n_assets,1.0,10.0,9.0
HAR_RV,cluster_exit_loose,n_assets,1.0,10.0,9.0
HAR_RV,cluster_exit_strict,n_assets,1.0,10.0,9.0
HAR_RV,entry_with_recent_spike,n_assets,1.0,10.0,9.0
HAR_RV,entry_without_recent_spike,n_assets,1.0,10.0,9.0
HAR_RV,high_within_block_dispersion,n_assets,1.0,10.0,9.0
HAR_RV,inflection_points,n_assets,1.0,10.0,9.0
HAR_RV,older_spike_position,n_assets,1.0,10.0,9.0
HAR_RV,recent_ramp_high_dispersion,n_assets,1.0,10.0,9.0
HAR_RV,recent_spike_position,n_assets,1.0,10.0,9.0
HAR_RV,same_average_back_loaded,n_assets,1.0,10.0,9.0
HAR_RV,same_average_different_path,n_assets,1.0,10.0,9.0
HAR_RV,same_average_recent_front_loaded,n_assets,1.0,10.0,9.0
HAR_RV,stable_low_dispersion,n_assets,1.0,10.0,9.0
RANDOM_GATE_PLACEBO_REPO,all_observations,n_assets,1.0,10.0,9.0
RANDOM_GATE_PLACEBO_REPO,cluster_entry_loose,n_assets,1.0,10.0,9.0
RANDOM_GATE_PLACEBO_REPO,cluster_entry_strict,n_assets,1.0,10.0,9.0
RANDOM_GATE_PLACEBO_REPO,cluster_exit_loose,n_assets,1.0,10.0,9.0
RANDOM_GATE_PLACEBO_REPO,cluster_exit_strict,n_assets,1.0,10.0,9.0
RANDOM_GATE_PLACEBO_REPO,entry_with_recent_spike,n_assets,1.0,10.0,9.0
RANDOM_GATE_PLACEBO_REPO,entry_without_recent_spike,n_assets,1.0,10.0,9.0
RANDOM_GATE_PLACEBO_REPO,high_within_block_dispersion,n_assets,1.0,10.0,9.0
RANDOM_GATE_PLACEBO_REPO,inflection_points,n_assets,1.0,10.0,9.0
RANDOM_GATE_PLACEBO_REPO,older_spike_position,n_assets,1.0,10.0,9.0
RANDOM_GATE_PLACEBO_REPO,recent_ramp_high_dispersion,n_assets,1.0,10.0,9.0
RANDOM_GATE_PLACEBO_REPO,recent_spike_position,n_assets,1.0,10.0,9.0
RANDOM_GATE_PLACEBO_REPO,same_average_back_loaded,n_assets,1.0,10.0,9.0
RANDOM_GATE_PLACEBO_REPO,same_average_different_path,n_assets,1.0,10.0,9.0
RANDOM_GATE_PLACEBO_REPO,same_average_recent_front_loaded,n_assets,1.0,10.0,9.0
RANDOM_GATE_PLACEBO_REPO,stable_low_dispersion,n_assets,1.0,10.0,9.0
RANDOM_RESIDUES_PLACEBO_REPO,all_observations,n_assets,1.0,10.0,9.0
RANDOM_RESIDUES_PLACEBO_REPO,cluster_entry_loose,n_assets,1.0,10.0,9.0
RANDOM_RESIDUES_PLACEBO_REPO,cluster_entry_strict,n_assets,1.0,10.0,9.0
RANDOM_RESIDUES_PLACEBO_REPO,cluster_exit_loose,n_assets,1.0,10.0,9.0
RANDOM_RESIDUES_PLACEBO_REPO,cluster_exit_strict,n_assets,1.0,10.0,9.0
RANDOM_RESIDUES_PLACEBO_REPO,entry_with_recent_spike,n_assets,1.0,10.0,9.0
RANDOM_RESIDUES_PLACEBO_REPO,entry_without_recent_spike,n_assets,1.0,10.0,9.0
RANDOM_RESIDUES_PLACEBO_REPO,high_within_block_dispersion,n_assets,1.0,10.0,9.0
RANDOM_RESIDUES_PLACEBO_REPO,inflection_points,n_assets,1.0,10.0,9.0
RANDOM_RESIDUES_PLACEBO_REPO,older_spike_position,n_assets,1.0,10.0,9.0
RANDOM_RESIDUES_PLACEBO_REPO,recent_ramp_high_dispersion,n_assets,1.0,10.0,9.0
RANDOM_RESIDUES_PLACEBO_REPO,recent_spike_position,n_assets,1.0,10.0,9.0
RANDOM_RESIDUES_PLACEBO_REPO,same_average_back_loaded,n_assets,1.0,10.0,9.0
RANDOM_RESIDUES_PLACEBO_REPO,same_average_different_path,n_assets,1.0,10.0,9.0
