model_name,condition,loss_variant,loss_metric,n_obs_total,n_assets,pooled_cp_loss,pooled_model_loss,pooled_advantage_cp_minus_model,assets_positive
HAR_RV,older_spike_position,excluding_near_zero_actual_bottom_asset_decile,MAE,85180,10,0.0005996808597667362,0.0006176919014327925,-1.801104166605634e-05,2
HAR_RV,older_spike_position,excluding_near_zero_actual_bottom_asset_decile,MSE,85180,10,2.8921316089488926e-06,2.9570515806225584e-06,-6.491997167366641e-08,0
HAR_RV,older_spike_position,excluding_near_zero_actual_bottom_asset_decile,RMSE,85180,10,0.0016071511084485655,0.0016259936690545473,-1.8842560605981928e-05,0
HAR_RV,older_spike_position,excluding_near_zero_actual_bottom_asset_decile,QLIKE,85180,10,395338.36039230373,0.5852480388281189,395337.77514426486,8
HAR_RV,older_spike_position,excluding_near_zero_actual_bottom_asset_decile,log_RV_MAE,85180,10,0.8306895025168325,0.8458423152822072,-0.015152812765374805,3
HAR_RV,older_spike_position,excluding_near_zero_actual_bottom_asset_decile,log_RV_MSE,85180,10,1.4717707449212003,1.2410908513513321,0.23067989356986793,8
HAR_RV,older_spike_position,excluding_near_zero_actual_bottom_asset_decile,winsorized_SMAPE_1_99,85180,10,69.28381540261677,71.49415303995787,-2.210337637341073,1
HAR_RV,older_spike_position,high_vol_actual_top_asset_quintile,SMAPE,20509,10,71.97662527280492,77.67579294882269,-5.699167676017768,0
HAR_RV,older_spike_position,high_vol_actual_top_asset_quintile,MAE,20509,10,0.001406991171776463,0.0014673064047646463,-6.031523298818326e-05,0
HAR_RV,older_spike_position,high_vol_actual_top_asset_quintile,MSE,20509,10,1.1340659190055558e-05,1.1642928918453391e-05,-3.022697283978348e-07,0
HAR_RV,older_spike_position,high_vol_actual_top_asset_quintile,RMSE,20509,10,0.003100164523428738,0.003143074647458595,-4.2910124029856665e-05,0
HAR_RV,older_spike_position,high_vol_actual_top_asset_quintile,QLIKE,20509,10,528354.6846762492,1.2698494419390198,528353.4148268073,6
HAR_RV,older_spike_position,high_vol_actual_top_asset_quintile,log_RV_MAE,20509,10,0.8302399911732007,0.8897172743476851,-0.05947728317448446,0
HAR_RV,older_spike_position,high_vol_actual_top_asset_quintile,log_RV_MSE,20509,10,1.1982180799171949,1.1427094412773,0.055508638639894824,6
HAR_RV,older_spike_position,high_vol_actual_top_asset_quintile,winsorized_SMAPE_1_99,20509,10,71.93587644514969,77.65378538679764,-5.717908941647961,0
HAR_RV,high_within_block_dispersion,standard,SMAPE,68970,10,119.60427233753936,120.63546405553241,-1.0311917179930286,3
HAR_RV,high_within_block_dispersion,standard,MAE,68970,10,0.0005686239436959398,0.0005947832577569495,-2.6159314061009575e-05,1
HAR_RV,high_within_block_dispersion,standard,MSE,68970,10,1.1231333770356058e-06,1.138755554963122e-06,-1.5622177927516174e-08,4
HAR_RV,high_within_block_dispersion,standard,RMSE,68970,10,0.0010218476548916346,0.0010276654505146604,-5.817795623025554e-06,4
HAR_RV,high_within_block_dispersion,standard,QLIKE,68970,10,503895.09549196664,6.812287197293912,503888.28320476937,8
HAR_RV,high_within_block_dispersion,standard,log_RV_MAE,68970,10,7.336315052592766,7.3910123235467395,-0.05469727095397306,0
HAR_RV,high_within_block_dispersion,standard,log_RV_MSE,68970,10,134.18160425169935,135.94162853690298,-1.7600242852036407,1
HAR_RV,high_within_block_dispersion,standard,winsorized_SMAPE_1_99,68970,10,119.61807792324268,120.65016310217503,-1.0320851789323322,3
HAR_RV,high_within_block_dispersion,excluding_near_zero_actual_bottom_asset_decile,SMAPE,44524,10,76.0726803313092,77.5926896574799,-1.5200093261707082,3
