asset,model_name,strategy,coverage,n_active,mean_advantage_active_rows,mean_advantage_overall,win_rate_overall,false_positive_loss_mean_active_negative_advantage_abs,false_negative_cost_mean_inactive_positive_advantage
EEM,CP_REPO_GATED_RIDGE_OPS_C,top_30pct_gate,0.30000816570946404,11022,-0.2306055579807321,-0.0691835504522069,0.09436838237295517,8.656981844783685,4.858206694976861
EEM,CP_REPO_GATED_RIDGE_OPS_C,condition_entry_with_recent_spike,0.11837556819728354,4349,-0.39890191616100235,-0.04722024098054382,0.041046299572661205,9.938517649754663,5.533654574534722
EEM,CP_REPO_GATED_RIDGE_OPS_C,condition_cluster_entry_loose,0.19995100574321564,7346,-0.3392434586156132,-0.0678320707419988,0.06924521625520565,9.994167184368079,5.038265531150629
EEM,CP_REPO_OPS_HG,top_5pct_gate,0.050001360951577346,1837,-0.5576693550864834,-0.027884226715312613,0.010642641334821307,8.247337650914506,7.939153839575933
EEM,CP_REPO_OPS_HG,top_10pct_gate,0.10000272190315469,3674,-0.4190053846769887,-0.041901678959777255,0.01989711206075288,6.954724498740439,8.049596931589148
EEM,CP_REPO_OPS_HG,top_20pct_gate,0.20000544380630939,7348,0.10113804682236832,0.020228159940411078,0.057922099131712895,10.595784972117256,7.168482781282375
EEM,CP_REPO_OPS_HG,top_30pct_gate,0.30000816570946404,11022,-0.0064708664310894805,-0.0019413127685420934,0.09632815264432891,11.551646612867899,6.038002296431974
EEM,CP_REPO_OPS_HG,condition_entry_with_recent_spike,0.11837556819728354,4349,-0.9994542439770531,-0.11831096401797014,0.04091020441492692,14.20906197470578,7.363026035630577
EEM,CP_REPO_OPS_HG,condition_cluster_entry_loose,0.19995100574321564,7346,-0.7674405399857107,-0.1534505078182593,0.0687552736873622,13.966456677037067,6.706673535360545
FXI,RAW_PM,top_5pct_gate,0.05000407420485102,1841,2.982242311392929,0.14912426583573843,0.02311432218811962,15.1397396769423,13.47721607699704
FXI,RAW_PM,top_10pct_gate,0.10000814840970204,3682,1.579295609195391,0.1579424296672035,0.044870576092565936,14.119084720151339,13.487935647436853
FXI,RAW_PM,top_20pct_gate,0.20001629681940408,7364,0.9186719753556801,0.18374936650240997,0.0880299861477035,12.79475409506773,13.673774503497874
FXI,RAW_PM,top_30pct_gate,0.29999728386343266,11045,1.0732312684042662,0.3219664654785865,0.13298204633728983,12.008904682384427,13.906318284301971
FXI,RAW_PM,condition_entry_with_recent_spike,0.12179156367982182,4484,2.630267755930959,0.3203444228914474,0.05750061113072765,16.21448027385329,12.852190580065699
FXI,RAW_PM,condition_cluster_entry_loose,0.19988048999103675,7359,0.9331057983671468,0.18650964419110289,0.08797566341635657,15.885926104542555,12.737993082663127
FXI,RAW_CP_REPO_PLUS_PM,top_5pct_gate,0.05000407420485102,1841,3.1788504079744513,0.1589554716864754,0.023548904038895077,9.449253738501445,9.12813256510143
FXI,RAW_CP_REPO_PLUS_PM,top_10pct_gate,0.10000814840970204,3682,1.6737220048872279,0.16738583866134593,0.04533231930901486,8.645771325124482,9.200932862093254
FXI,RAW_CP_REPO_PLUS_PM,top_20pct_gate,0.20001629681940408,7364,1.1159944518924876,0.22321707753853595,0.09020289540158079,7.984651753774118,9.436622076345603
FXI,RAW_CP_REPO_PLUS_PM,top_30pct_gate,0.29999728386343266,11045,0.7907245503772252,0.23721521739730156,0.13192275307602466,7.907139669753685,9.672160076392341
FXI,RAW_CP_REPO_PLUS_PM,condition_entry_with_recent_spike,0.12179156367982182,4484,0.9386331275751152,0.11431759632905496,0.05388814949615667,9.665486006069159,9.119468478887706
FXI,RAW_CP_REPO_PLUS_PM,condition_cluster_entry_loose,0.19988048999103675,7359,0.16410617309428663,0.032801622288639906,0.08561262460276503,10.09492640661123,9.12008813275692
FXI,CP_REPO_OPS_C,top_5pct_gate,0.05000407420485102,1841,0.5600687913654163,0.0280057214032575,0.022679740337344163,10.890904730153702,8.667455827923348
FXI,CP_REPO_OPS_C,top_10pct_gate,0.10000814840970204,3682,-0.12761752559794268,-0.012762792439677989,0.043403862346198765,9.069901375923324,8.829471300895692
FXI,CP_REPO_OPS_C,top_20pct_gate,0.20001629681940408,7364,-0.3673255818056591,-0.073471102599801,0.08517804275198956,8.102814121750209,9.235987302788848
FXI,CP_REPO_OPS_C,top_30pct_gate,0.29999728386343266,11045,-0.46083791079641545,-0.1382501215402235,0.12621886628459678,7.863247317401333,9.7497938016655
FXI,CP_REPO_OPS_C,condition_entry_with_recent_spike,0.12179156367982182,4484,-0.2432121334510497,-0.029621186038908835,0.0536980199364424,10.379122388903477,8.646749649168946
FXI,CP_REPO_OPS_C,condition_cluster_entry_loose,0.19988048999103675,7359,-0.7959790742227908,-0.15910068737826322,0.0839557812966836,10.844700046421162,8.58498927066219
FXI,CP_REPO_GATED_RIDGE_OPS_C,top_5pct_gate,0.05000407420485102,1841,0.9021201927962057,0.045109685062275987,0.021566124344732054,10.9850376181801,7.885473583939825
FXI,CP_REPO_GATED_RIDGE_OPS_C,top_10pct_gate,0.10000814840970204,3682,0.14531023599375995,0.014532207646712775,0.04212727815954586,11.575722580361537,7.687577990899759
FXI,CP_REPO_GATED_RIDGE_OPS_C,top_20pct_gate,0.20001629681940408,7364,-0.029995565351750166,-0.005999601902661489,0.08392861993101013,11.17629762516741,7.333155382500901
