asset,challenger_model,strategy,gate_type,selected_coverage,selected_threshold,validation_score,validation_fraction,uses_future_outcomes_for_threshold,uses_full_evaluation_scores_for_threshold
AMZN,CP_REPO_RECENT_SLOPE,top_30pct,perturbation_magnitude,0.3,7.822384501037999e-05,,0.0,False,True
AMZN,CP_REPO_RECENT_SLOPE,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,7.822384501037999e-05,,0.0,False,True
AMZN,CP_REPO_RECENT_SLOPE,validation_selected,prefix_validation_perturbation_magnitude,0.05,0.00016319272457367002,-0.12834407114272678,0.25,False,False
AMZN,CP_REPO_RECENT_SLOPE,condition_cluster_entry_loose,condition_label,0.20000544677142623,,,0.0,False,False
AMZN,CP_REPO_RECENT_SLOPE,condition_entry_with_recent_spike,condition_label,0.12015577766279038,,,0.0,False,False
AMZN,CP_REPO_HAAR_SHAPE,top_5pct,perturbation_magnitude,0.05,0.00034022625166092995,,0.0,False,True
AMZN,CP_REPO_HAAR_SHAPE,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,0.00034022625166092995,,0.0,False,True
AMZN,CP_REPO_HAAR_SHAPE,top_10pct,perturbation_magnitude,0.1,0.00023893710424098018,,0.0,False,True
AMZN,CP_REPO_HAAR_SHAPE,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,0.00023893710424098018,,0.0,False,True
AMZN,CP_REPO_HAAR_SHAPE,top_20pct,perturbation_magnitude,0.2,0.00014936828821726005,,0.0,False,True
AMZN,CP_REPO_HAAR_SHAPE,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,0.00014936828821726005,,0.0,False,True
AMZN,CP_REPO_HAAR_SHAPE,top_30pct,perturbation_magnitude,0.3,0.00010589141943852001,,0.0,False,True
AMZN,CP_REPO_HAAR_SHAPE,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,0.00010589141943852001,,0.0,False,True
AMZN,CP_REPO_HAAR_SHAPE,validation_selected,prefix_validation_perturbation_magnitude,0.05,0.00029461145055816013,-0.4204323195386128,0.25,False,False
AMZN,CP_REPO_HAAR_SHAPE,condition_cluster_entry_loose,condition_label,0.20000544677142623,,,0.0,False,False
AMZN,CP_REPO_HAAR_SHAPE,condition_entry_with_recent_spike,condition_label,0.12015577766279038,,,0.0,False,False
AMZN,SHUFFLED_LAG_PM_PLACEBO_REPO,top_5pct,perturbation_magnitude,0.05,0.0002317050812031196,,0.0,False,True
AMZN,SHUFFLED_LAG_PM_PLACEBO_REPO,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,0.0002317050812031196,,0.0,False,True
AMZN,SHUFFLED_LAG_PM_PLACEBO_REPO,top_10pct,perturbation_magnitude,0.1,0.0001687232828379204,,0.0,False,True
AMZN,SHUFFLED_LAG_PM_PLACEBO_REPO,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,0.0001687232828379204,,0.0,False,True
AMZN,SHUFFLED_LAG_PM_PLACEBO_REPO,top_20pct,perturbation_magnitude,0.2,0.00011178614987140003,,0.0,False,True
AMZN,SHUFFLED_LAG_PM_PLACEBO_REPO,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,0.00011178614987140003,,0.0,False,True
AMZN,SHUFFLED_LAG_PM_PLACEBO_REPO,top_30pct,perturbation_magnitude,0.3,8.089021917373997e-05,,0.0,False,True
AMZN,SHUFFLED_LAG_PM_PLACEBO_REPO,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,8.089021917373997e-05,,0.0,False,True
AMZN,SHUFFLED_LAG_PM_PLACEBO_REPO,validation_selected,prefix_validation_perturbation_magnitude,0.3,9.510587955650003e-05,-0.5259365561497379,0.25,False,False
AMZN,SHUFFLED_LAG_PM_PLACEBO_REPO,condition_cluster_entry_loose,condition_label,0.20000544677142623,,,0.0,False,False
AMZN,SHUFFLED_LAG_PM_PLACEBO_REPO,condition_entry_with_recent_spike,condition_label,0.12015577766279038,,,0.0,False,False
AMZN,RANDOM_GATE_PLACEBO_REPO,top_5pct,perturbation_magnitude,0.05,0.0002619798079299199,,0.0,False,True
AMZN,RANDOM_GATE_PLACEBO_REPO,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,0.0002619798079299199,,0.0,False,True
AMZN,RANDOM_GATE_PLACEBO_REPO,top_10pct,perturbation_magnitude,0.1,0.00016850332892968036,,0.0,False,True
AMZN,RANDOM_GATE_PLACEBO_REPO,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,0.00016850332892968036,,0.0,False,True
