model_name,family,tau,kappa,gamma,intercept,alpha,clip,tail_rule,selection_score,pooled_min_normalized_gain,worst_fold_metric_normalized_gain,positive_fold_metric_count,fold_metric_count,pooled_smape_gain,pooled_mae_gain,pooled_mse_gain,pooled_smape_normalized_gain,pooled_mae_normalized_gain,pooled_mse_normalized_gain
PM_CAST_D,pm,0.1,0.07,-1.0,-0.02,0.75,0.1,none,0.002404770742971669,0.0031926661372652337,-0.00859988595148739,10,12,0.3174493328553609,1.7045165803792933e-05,9.386536406942726e-09,0.0031926661372652337,0.030247816665983564,0.008647124072038962
PM_CAST_D,pm,1.0,0.07,-0.5,-0.02,0.75,0.1,none,0.0023965526493708936,0.0029916656116227326,-0.007299135732147673,10,12,0.297463690753915,1.5724465408497386e-05,8.771498313899372e-09,0.0029916656116227326,0.027904143164215554,0.008080534813871014
PM_CAST_D,pm,1.0,0.07,-1.0,0.0,0.35,0.1,none,0.0023934427706933372,0.002823185045559334,-0.005525617023775987,11,12,0.28071153409348426,1.4534879135112656e-05,8.52051008875007e-09,0.002823185045559334,0.02579314067119756,0.007849317863401234
PM_CAST_D,pm,0.5,0.12,-0.5,0.0,0.75,0.1,none,0.0023923302689846764,0.0027526991335115633,-0.004531202090749759,11,12,0.27370306380775844,1.4248708008285263e-05,9.798724331685104e-09,0.0027526991335115633,0.02528531036441071,0.00902684242306004
PM_CAST_D,pm,0.5,0.07,-1.0,0.07,0.75,0.1,none,0.002389049394265017,0.0027216605562146575,-0.0032907949978011955,11,12,0.270616873385066,1.3703286840056807e-05,9.440854671428656e-09,0.0027216605562146575,0.024317423064737168,0.008697163485090219
PM_CAST_D,pm,0.5,0.07,-1.0,0.0,0.35,0.1,none,0.0023879654199798488,0.002848508635742361,-0.0056990588900802915,11,12,0.283229478802852,1.4991057770946453e-05,9.17873165461362e-09,0.002848508635742361,0.026602660971702278,0.008455688871849464
PM_CAST_D,pm,0.1,0.07,-1.0,-0.02,0.35,0.1,none,0.002380388957574671,0.0030344939676846287,-0.0076887420562364505,9,12,0.3017221482545125,1.6375310730969497e-05,8.60648387021065e-09,0.0030344939676846287,0.02905911286170413,0.007928519170784661
PM_CAST_D,pm,0.1,0.12,-0.5,0.0,0.75,0.1,none,0.00237970872977878,0.002768564651488596,-0.004933788509005248,11,12,0.2752805848765689,1.4570833828078948e-05,9.949655984979594e-09,0.002768564651488596,0.025856944741726704,0.009165884629455797
PM_CAST_D,pm,0.1,0.07,-0.5,-0.02,0.75,0.1,none,0.002379657869011525,0.0030286155426517028,-0.007696233551006262,10,12,0.30113765177893015,1.6316539278074722e-05,9.307632564925668e-09,0.0030286155426517028,0.028954818884583705,0.008574435778710934
PM_CAST_D,pm,0.1,0.12,-1.0,0.0,0.35,0.1,none,0.0023764930722047733,0.002771438892831286,-0.004883623748239763,11,12,0.2755663729788864,1.4678059524768968e-05,9.685919112153881e-09,0.002771438892831286,0.026047224100267198,0.008922923289636278
PM_CAST_D,pm,0.1,0.12,-0.5,-0.02,0.75,0.1,none,0.00237252335822741,0.002896461822624828,-0.006508617502728648,11,12,0.28799750230723475,1.5734572631801564e-05,9.986663056728672e-09,0.002896461822624828,0.02792207912570904,0.009199976516716836
PM_CAST_D,pm,0.1,0.07,-1.0,0.0,0.35,0.1,none,0.0023644052861699688,0.00287065842276294,-0.006268061024643671,11,12,0.2854318497399504,1.525017798809764e-05,8.830489549150075e-09,0.00287065842276294,0.027062487582546677,0.008134879090424223
PM_CAST_D,pm,1.0,0.12,-0.5,0.0,0.75,0.1,none,0.0023605831481771874,0.002720119909464936,-0.004369135119699186,11,12,0.2704636856536098,1.375190491131092e-05,8.855209024300183e-09,0.002720119909464936,0.0244036991692278,0.008157651320707225
PM_CAST_D,pm,0.1,0.12,-1.0,0.07,0.75,0.1,none,0.0023590588918422505,0.0026488682975284194,-0.0020754038226748856,11,12,0.26337908121905684,1.3054756995996568e-05,9.525182796580858e-09,0.0026488682975284194,0.02316656234262041,0.008774848770624741
PM_CAST_D,pm,0.5,0.07,-0.5,0.0,0.75,0.1,none,0.002356298847749782,0.0028366810453381163,-0.006027407872831209,11,12,0.2820534520835878,1.4893335634766488e-05,9.287440306719766e-09,0.0028366810453381163,0.026429246333592855,0.008555834139679105
PM_CAST_D,pm,0.5,0.12,-1.0,0.07,0.75,0.1,none,0.002354423653500021,0.002680904391659008,-0.0006849765802705325,11,12,0.26656445553375363,1.2757492248138803e-05,9.990802135543056e-09,0.002680904391659008,0.02263904564387051,0.009203789544920238
PM_CAST_D,pm,0.1,0.07,-0.5,0.0,0.75,0.1,none,0.0023339350483942514,0.002847917281799153,-0.00636086566938022,11,12,0.28317068001003065,1.5180406413617875e-05,9.338079736675165e-09,0.002847917281799153,0.026938673134646655,0.0086024845136592
PM_CAST_D,pm,1.0,0.07,-0.5,0.0,0.75,0.1,none,0.0023198472695503784,0.0027856371506618277,-0.005958545308468185,11,12,0.2769781170455161,1.4403540220966232e-05,8.444033669771775e-09,0.0027856371506618277,0.025560070753196152,0.007778865775983619
PM_CAST_D,pm,1.0,0.07,-1.0,0.07,0.75,0.1,none,0.00228848492720963,0.002637791495794089,-0.0029793717236788054,11,12,0.2622777060142738,1.302031567910404e-05,8.50455992016082e-09,0.002637791495794089,0.023105443861809363,0.00783462414883159
PM_CAST_D,pm,1.0,0.12,-1.0,0.07,0.75,0.1,none,0.002284794630620832,0.0026777688600423026,-0.0008616518925050232,11,12,0.26625268713171124,1.2045351647442526e-05,8.314464143185143e-09,0.0026777688600423026,0.021375303267984022,0.00765950292223479
PM_CAST_D,pm,0.5,0.12,-1.0,0.02,0.75,0.1,q90_half,0.0022761195231712694,0.002643358575144625,-0.003863841586508617,11,12,0.26283124514107215,1.3595813665434543e-05,6.722651989783388e-09,0.002643358575144625,0.0241267045396195,0.006193083724237162
PM_CAST_D,pm,0.5,0.07,-1.0,0.02,0.35,0.1,none,0.0022633526326590867,0.002572772338824997,-0.004433009383186561,11,12,0.2558127995332171,1.3411406056473667e-05,8.848013429791315e-09,0.002572772338824997,0.023799460580137467,0.008151022549902666
PM_CAST_D,pm,0.5,0.12,-1.0,0.0,0.75,0.1,q90_half,0.002257689201220808,0.002683077649840641,-0.004902247987721795,11,12,0.2667805443229412,1.4225052259872733e-05,6.486052165512011e-09,0.002683077649840641,0.025243331615167938,0.005975121746868815
