asset,origin,Date,Actual,Predicted_CP_REPO_FRESH,Predicted_FULL_SMAPE_ACTION,Predicted_FULL_MEAN_ACTION,Predicted_FULL_MEDIAN_ACTION,Predicted_NO_Q_SMAPE_ACTION,selected_bandwidth,full_effective_neighbors,no_q_effective_neighbors,mean_quotient_distance_share
GOOGL,33545,2025-04-25 10:05:00,0.0017811558470160309,0.0009582726064887,0.0017983306066784066,0.0017992272504875925,0.0017983306066784066,0.0017983306066784066,2.0,1.0002607785230029,1.0002570984519823,0.0019045652693578986
GOOGL,33788,2025-04-30 10:50:00,0.0005636802203552395,0.0007304966187314,0.0007159904840478265,0.0010929390062998522,0.0006520257484785752,0.0007116286892585421,2.0,746.6729567674101,740.5387680896696,0.10954814228594832
GOOGL,34073,2025-05-05 15:05:00,0.0004850101644078139,0.0011402817845137,0.0011635867821486027,0.001649335115010302,0.0010305841899090774,0.0011635867821486027,2.0,699.7989181454925,707.4464603886645,0.01112788861095769
GOOGL,34170,2025-05-07 10:10:00,0.000610687041879939,0.0008956595163995,0.0008065267056297717,0.001202415597318813,0.0007182689428466185,0.0008065267056297715,2.0,858.4665799424617,863.5998028640504,0.09702875561175944
GOOGL,34354,2025-05-09 12:30:00,0.0007776050158546732,0.0008640638090889,0.0009066183757900877,0.0012521095072176528,0.000776498033062662,0.0009030510837526619,2.0,888.3144125576052,892.3201133224915,0.0346963732191699
GOOGL,34555,2025-05-14 09:45:00,6.249804695636429e-05,0.0011236542817494,0.001002694826128218,0.0015465211508486035,0.0008643576509002501,0.0009985666567647804,2.0,1011.4695761298283,1024.5416521094407,0.02484139286602923
GOOGL,34804,2025-05-19 11:00:00,0.0003685051018238906,0.0008379679698829,0.000932690880608774,0.0010836200696382693,0.0009326908806087739,0.000932690880608774,2.0,8.953677703257666,9.116212127232556,0.010299140923280567
GOOGL,36324,2025-06-16 14:10:00,0.0005695734049293306,0.0010188377673109,0.0007467187802093227,0.001140369164178809,0.0006315850122387935,0.0007493443587809796,2.0,1223.3325789576506,1232.0276901974064,0.08074868145548118
GOOGL,37085,2025-07-01 12:35:00,0.0006258712616468718,0.0008454961048257,0.0005965519475369871,0.0009811346033575126,0.0005359216491743791,0.0005954862320909791,2.0,1113.8746925058465,1113.5252352346631,0.17761173038709993
GOOGL,37196,2025-07-02 15:20:00,0.0007519881074276578,0.0011282808362395,0.0006381752886515048,0.0011191575276577762,0.0005820044396620258,0.000636882203910566,2.0,1396.51542220876,1423.9681011175446,0.0343082301925578
