model,family,feature_count,suite,n_tickers,smape_pct_mean,smape_pct_se,rmse_mean,rmse_se,mae_mean,mae_se,medae_mean,medae_se,diracc_pct_mean,diracc_pct_se
RAND_FC6_S1,RAND,6.0,random,10,101.36914294348462,7.6684395764358,0.0013958910109199813,0.00017331625891851696,0.0005937318274189105,7.580514679078719e-05,0.0004070918556752936,5.35617237721065e-05,59.09736812481604,3.8177976691177955
RAND_FC6_S2,RAND,6.0,random,10,101.26550910793347,7.674000976814489,0.001395561736090978,0.00017327307036650306,0.0005924831005041595,7.560745223409564e-05,0.00040543446845719283,5.337209555291513e-05,59.172209235161304,3.830963055214283
RAND_FC9_S0,RAND,9.0,random,10,101.47071433113787,7.656544003268438,0.0013968631008015313,0.00017352838536044597,0.0005954180689354238,7.61969365809927e-05,0.0004096698937443811,5.416982943128185e-05,59.04836734420833,3.815603113515715
RAND_FC9_S1,RAND,9.0,random,10,101.31349060780994,7.6751272016824545,0.0013957007522485236,0.00017323835736079998,0.0005930909100025285,7.567988434766921e-05,0.0004053882883733517,5.321937399935964e-05,59.140915147203614,3.827987739260479
RAND_FC9_S2,RAND,9.0,random,10,101.22259166438835,7.680091690794611,0.0013953798304885074,0.0001732130840655598,0.0005919098514477901,7.550503493038025e-05,0.00040419334201995,5.3223636867829654e-05,59.22717068458189,3.8424537566628505
SHIFTWIN_FC6_O1,SHIFTWIN,6.0,contiguous,10,101.09538013649728,7.695053242914625,0.0013950218921942041,0.00017329706541316188,0.0005902711814226766,7.537103381682885e-05,0.0004019422459210685,5.317858997061562e-05,59.275080944221614,3.8505948424438636
SHIFTWIN_FC6_O3,SHIFTWIN,6.0,contiguous,10,100.94366872403606,7.709801595122426,0.0013938947051498614,0.0001730256925175802,0.0005878194967768809,7.491138066797716e-05,0.0003978036770650936,5.240994711219352e-05,59.38205407323132,3.866901682055549
SHIFTWIN_FC6_O5,SHIFTWIN,6.0,contiguous,10,101.0818662798251,7.699121407035547,0.0013946658140674467,0.00017322589040174696,0.0005898918751495462,7.528504842485853e-05,0.00040112522429916855,5.297796284712811e-05,59.25874562061542,3.8592943511361413
SHIFTWIN_FC9_O1,SHIFTWIN,9.0,contiguous,10,101.08559129071276,7.7012104651886855,0.0013946325003226742,0.0001731519849376186,0.0005897909746992887,7.530019978476618e-05,0.0004006276439014832,5.290868911358337e-05,59.29875291920526,3.853835585856754
SHIFTWIN_FC9_O3,SHIFTWIN,9.0,contiguous,10,101.07534864579937,7.700280824510714,0.0013945446677222897,0.00017313724670481957,0.0005897028857291264,7.528556035310685e-05,0.0004005018074278538,5.2919396910606405e-05,59.31317132493857,3.853563029249928
SHIFTWIN_FC9_O5,SHIFTWIN,9.0,contiguous,10,101.08038594028012,7.700867051794345,0.0013946186268180717,0.00017317860708674368,0.0005897554849196766,7.530616978961873e-05,0.0004008544889361777,5.305153196214156e-05,59.28896418154758,3.854466237408799
