asset,challenger_model,strategy,gate_type,selected_coverage,selected_threshold,validation_score,validation_fraction,uses_future_outcomes_for_threshold,uses_full_evaluation_scores_for_threshold
AMZN,CP_REPO_GATED_RIDGE_OPS_C,top_20pct,perturbation_magnitude,0.2,0.0001285107987384,,0.0,False,True
AMZN,CP_REPO_GATED_RIDGE_OPS_C,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,0.0001285107987384,,0.0,False,True
AMZN,CP_REPO_GATED_RIDGE_OPS_C,top_30pct,perturbation_magnitude,0.3,8.916088941735996e-05,,0.0,False,True
AMZN,CP_REPO_GATED_RIDGE_OPS_C,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,8.916088941735996e-05,,0.0,False,True
AMZN,CP_REPO_GATED_RIDGE_OPS_C,validation_selected,prefix_validation_perturbation_magnitude,0.05,0.0002679190546286,-0.0511212358771236,0.25,False,False
AMZN,CP_REPO_GATED_RIDGE_OPS_C,condition_cluster_entry_loose,condition_label,0.2000054467714262,,,0.0,False,False
AMZN,CP_REPO_GATED_RIDGE_OPS_C,condition_entry_with_recent_spike,condition_label,0.1201557776627903,,,0.0,False,False
AMZN,CP_REPO_RECENT_SLOPE,top_5pct,perturbation_magnitude,0.05,0.0001465016837509,,0.0,False,True
AMZN,CP_REPO_RECENT_SLOPE,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,0.0001465016837509,,0.0,False,True
AMZN,CP_REPO_RECENT_SLOPE,top_10pct,perturbation_magnitude,0.1,0.0001199411449512,,0.0,False,True
AMZN,CP_REPO_RECENT_SLOPE,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,0.0001199411449512,,0.0,False,True
AMZN,CP_REPO_RECENT_SLOPE,top_20pct,perturbation_magnitude,0.2,9.418654268837996e-05,,0.0,False,True
AMZN,CP_REPO_RECENT_SLOPE,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,9.418654268837996e-05,,0.0,False,True
AMZN,CP_REPO_RECENT_SLOPE,top_30pct,perturbation_magnitude,0.3,7.822384501037999e-05,,0.0,False,True
AMZN,CP_REPO_RECENT_SLOPE,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,7.822384501037999e-05,,0.0,False,True
AMZN,CP_REPO_RECENT_SLOPE,validation_selected,prefix_validation_perturbation_magnitude,0.05,0.0001631927245736,-0.1283440711427267,0.25,False,False
AMZN,CP_REPO_RECENT_SLOPE,condition_cluster_entry_loose,condition_label,0.2000054467714262,,,0.0,False,False
AMZN,CP_REPO_RECENT_SLOPE,condition_entry_with_recent_spike,condition_label,0.1201557776627903,,,0.0,False,False
AMZN,CP_REPO_HAAR_SHAPE,top_5pct,perturbation_magnitude,0.05,0.0003402262516609,,0.0,False,True
AMZN,CP_REPO_HAAR_SHAPE,top_5pct_random_gate,shuffled_perturbation_magnitude,0.05,0.0003402262516609,,0.0,False,True
AMZN,CP_REPO_HAAR_SHAPE,top_10pct,perturbation_magnitude,0.1,0.0002389371042409,,0.0,False,True
AMZN,CP_REPO_HAAR_SHAPE,top_10pct_random_gate,shuffled_perturbation_magnitude,0.1,0.0002389371042409,,0.0,False,True
AMZN,CP_REPO_HAAR_SHAPE,top_20pct,perturbation_magnitude,0.2,0.0001493682882172,,0.0,False,True
AMZN,CP_REPO_HAAR_SHAPE,top_20pct_random_gate,shuffled_perturbation_magnitude,0.2,0.0001493682882172,,0.0,False,True
AMZN,CP_REPO_HAAR_SHAPE,top_30pct,perturbation_magnitude,0.3,0.0001058914194385,,0.0,False,True
AMZN,CP_REPO_HAAR_SHAPE,top_30pct_random_gate,shuffled_perturbation_magnitude,0.3,0.0001058914194385,,0.0,False,True
AMZN,CP_REPO_HAAR_SHAPE,validation_selected,prefix_validation_perturbation_magnitude,0.05,0.0002946114505581,-0.4204323195386128,0.25,False,False
AMZN,CP_REPO_HAAR_SHAPE,condition_cluster_entry_loose,condition_label,0.2000054467714262,,,0.0,False,False
AMZN,CP_REPO_HAAR_SHAPE,condition_entry_with_recent_spike,condition_label,0.1201557776627903,,,0.0,False,False
AMZN,SHUFFLED_LAG_PM_PLACEBO_REPO,top_5pct,perturbation_magnitude,0.05,0.0002317050812031,,0.0,False,True
