ticker,baseline,model,family,feature_count,seed,offset,suite,n_obs,delta_smape_pp,delta_mae,win_rate_pct,dm_abs_stat,dm_abs_p,dm_smape_stat,dm_smape_p
FXI,CP,SHIFTWIN_FC6_O1,SHIFTWIN,6.0,,1.0,contiguous,36817,-0.08899401763896693,-1.0105812137398368e-05,42.45864682076215,-6.009696498999587,1.8587095613028667e-09,-0.6872302966420429,0.4919376153511923
FXI,CP,SHIFTWIN_FC6_O3,SHIFTWIN,6.0,,3.0,contiguous,36817,-0.08173884870994917,-8.956813941551706e-06,42.79544775511312,-5.480285175713096,4.2464082931857224e-08,-0.6483220626160051,0.5167766671683811
FXI,CP,SHIFTWIN_FC6_O5,SHIFTWIN,6.0,,5.0,contiguous,36817,-0.09302467585842614,-9.904517234515532e-06,42.55099546405193,-5.9446860630033225,2.769871874514602e-09,-0.7303385994162733,0.465183239657611
FXI,CP,SHIFTWIN_FC9_O1,SHIFTWIN,9.0,,1.0,contiguous,36817,-0.11250588978171305,-9.780208223000568e-06,42.477659776733574,-5.7661166079486605,8.111894369652124e-09,-0.8778611031485972,0.3800191000157457
FXI,CP,SHIFTWIN_FC9_O3,SHIFTWIN,9.0,,3.0,contiguous,36817,-0.10369817485000633,-9.763785352880963e-06,42.616182741668254,-5.728868734289986,1.0110258810077342e-08,-0.8066253414119713,0.41988236914942456
FXI,CP,SHIFTWIN_FC9_O5,SHIFTWIN,9.0,,5.0,contiguous,36817,-0.1238811488805858,-9.95406594170209e-06,42.24678816850911,-5.891399463650051,3.829386090466761e-09,-0.9642693423430252,0.33491090707104454
FXI,CP,HAR,HAR,0.0,,,core,36817,-0.49781006916213233,-1.555605756367449e-05,39.22372816905234,-9.502143468373383,2.0561364805566346e-21,-3.7695401153991948,0.00016354862152799342
FXI,CP,PM,PM,10.0,,,core,36817,-0.23688087112770664,-1.1873236926096065e-05,42.800880028247825,-7.038296719493609,1.9460394271532712e-12,-1.834570530058353,0.06656934853466279
FXI,CP,EWMA,EWMA,,,,external,36817,-18.021006919648677,-0.0006959871904765588,23.893853382948095,-30.988966154558142,7.591139922040848e-211,-43.67158573900994,0.0
FXI,CP,HARQ,HARQ,4.0,,,external,35797,-0.3490754184404154,-3.0872743005560444e-05,39.87205631756851,-2.887069237762302,0.003888486514156694,-2.0775680915925028,0.0377491576351683
FXI,CP,HAR_TCJ,HAR_TCJ,,,,external,24501,-4.836669874184506,-7.112028699967074e-05,34.035345496102195,-28.46045524124664,3.617750985899855e-178,-23.04385324231081,1.6952071592250943e-117
FXI,CP,GARCH11,GARCH11,,,,external,36817,-31.322047057082685,-0.000939751850697144,16.66078170410408,-114.43580757684295,0.0,-89.26625089700997,0.0
FXI,CP,COMP_COPRIME_FC6,COMP_COPRIME,6.0,,,modulo,36817,-0.23829104144395935,-1.1826257096989417e-05,42.39889181628052,-6.998433788581994,2.588396311027152e-12,-1.8231833889119957,0.06827562006488558
FXI,CP,COMP_NONCOPRIME_FC6,COMP_NONCOPRIME,6.0,,,modulo,36817,-0.25168674428916754,-1.1939605327057128e-05,42.559143873753975,-7.021033951135987,2.2023232612331076e-12,-1.93773690602214,0.05265532886197909
FXI,CP,COMP_COPRIME_FC9,COMP_COPRIME,9.0,,,modulo,36817,-0.24866027130097576,-1.2001328050278197e-05,42.67865388271722,-7.003413672201161,2.497998562961197e-12,-1.8967818154730045,0.057856740306746035
FXI,CP,COMP_NONCOPRIME_FC9,COMP_NONCOPRIME,9.0,,,modulo,36817,-0.2394804799383772,-1.1896831613270023e-05,42.627047287937636,-6.786366476729541,1.1499282906174443e-11,-1.8194363297956697,0.06884488832202344
FXI,CP,RAND_FC3_S0,RAND,3.0,0.0,,random,36817,-0.28314512203308345,-1.2491417227574634e-05,42.09196838417036,-7.548817808121369,4.392267926066401e-14,-2.177364364067708,0.029453392340879837
FXI,CP,CRS_FC3_S0,CRS,3.0,0.0,,random,36817,-0.07060698947406897,-9.39878604782283e-06,42.75470570660293,-6.102015769306247,1.0473903851219647e-09,-0.5587952172120192,0.5763014869695755
FXI,CP,RAND_FC3_S1,RAND,3.0,1.0,,random,36817,-0.20601386501759011,-1.1286771264934554e-05,42.56729228345601,-6.787416431576649,1.1415934358185309e-11,-1.5835413716239584,0.11329812478080535
FXI,CP,CRS_FC3_S1,CRS,3.0,1.0,,random,36817,-0.32252053948073645,-1.3034040580446138e-05,40.736616237064396,-7.6836028497407565,1.5467567741894518e-14,-2.457590925403448,0.013987239811174244
FXI,CP,RAND_FC3_S2,RAND,3.0,2.0,,random,36817,-0.2060663539179509,-1.1434437987381372e-05,42.30382703642339,-7.08074459043486,1.4338195231066762e-12,-1.6072097754586343,0.1080083583589688
FXI,CP,CRS_FC3_S2,CRS,3.0,2.0,,random,36817,-0.15586010966449684,-1.0804144548981422e-05,42.52926637151316,-6.4342242675084105,1.241055054323348e-10,-1.1985130145304959,0.2307173594649431
FXI,CP,RAND_FC6_S0,RAND,6.0,0.0,,random,36817,-0.28948230920516244,-1.2525011164230747e-05,42.27938180731727,-7.351055553309281,1.9664766255068596e-13,-2.222133583717173,0.02627427926362053
