baseline,model,family,feature_count,suite,n_tickers,delta_smape_pp_mean,delta_smape_pp_se,delta_mae_mean,delta_mae_se,win_rate_pct_mean,win_rate_pct_se
PM,PREFIX_FC6,PREFIX,6.0,capacity,10,0.46483800335361536,0.09022122793231202,6.777136259491587e-06,1.4858452892466438e-06,42.85562956838151,2.4855801464776333
PM,PREFIX_FC9,PREFIX,9.0,capacity,10,0.4624604842690931,0.0898944764689988,6.7255802395947734e-06,1.4555695182706275e-06,42.94542296289072,2.5007259816745417
PM,RAND_FC3_S0,RAND,3.0,random,10,-0.1071190231822444,0.026695145112054876,-1.3171780726860284e-06,2.311457149732473e-07,39.06897324403503,1.9050110072051527
PM,RAND_FC3_S1,RAND,3.0,random,10,0.028314842039867626,0.008695907780845877,5.602741393813214e-07,1.5942706174687723e-07,40.72382463777443,2.20536355862945
PM,RAND_FC3_S2,RAND,3.0,random,10,0.016153610792803603,0.01566730787682883,2.59496208774524e-07,1.6530631389509522e-07,40.380979587979006,1.9238248219273462
PM,RAND_FC6_S0,RAND,6.0,random,10,-0.09832811915978065,0.022897391679659724,-1.2425778455918202e-06,2.1473918308909485e-07,39.29893658518133,1.9286357901065374
PM,RAND_FC6_S1,RAND,6.0,random,10,0.037132530505230535,0.012393675782847903,7.983112361014567e-07,2.2308919330015217e-07,40.71766805909074,2.1937128437311215
PM,RAND_FC6_S2,RAND,6.0,random,10,0.1407663660563902,0.022476975958513612,2.047038150852555e-06,4.5481641349704635e-07,41.71270935363377,2.2923909787022105
PM,RAND_FC9_S0,RAND,9.0,random,10,-0.06443885714800679,0.019725784513672347,-8.879302804118829e-07,2.5011332185929755e-07,39.998302494120814,2.078530319310636
PM,RAND_FC9_S1,RAND,9.0,random,10,0.09278486617990875,0.023251298003319834,1.4392286524833495e-06,3.7702226946421344e-07,41.76842532944714,2.4012804548558733
PM,RAND_FC9_S2,RAND,9.0,random,10,0.18368380960149713,0.031547492443410145,2.6202872072217782e-06,5.8713622806259e-07,42.067836406438786,2.304523507130274
PM,SHIFTWIN_FC6_O1,SHIFTWIN,6.0,contiguous,10,0.3108953374925766,0.053530901656762164,4.258957232335238e-06,8.212339515977767e-07,43.03312534107932,2.586636816700683
PM,SHIFTWIN_FC6_O3,SHIFTWIN,6.0,contiguous,10,0.4626067499538066,0.08311262867326126,6.710641878131043e-06,1.3555744532552788e-06,42.97742551171049,2.531456481189283
PM,SHIFTWIN_FC6_O5,SHIFTWIN,6.0,contiguous,10,0.3244091941647351,0.05938913932549025,4.638263505465647e-06,9.11243421725868e-07,42.72177133641363,2.530993112635176
PM,SHIFTWIN_FC9_O1,SHIFTWIN,9.0,contiguous,10,0.3206841832770866,0.06607261183549713,4.739163955723133e-06,8.981921139339491e-07,42.80281312139899,2.511306612977332
PM,SHIFTWIN_FC9_O3,SHIFTWIN,9.0,contiguous,10,0.33092682819048636,0.06620259769917387,4.8272529258855015e-06,9.239164390708836e-07,42.78185619708412,2.4997809467372987
PM,SHIFTWIN_FC9_O5,SHIFTWIN,9.0,contiguous,10,0.3258895337097371,0.06472822982219904,4.774653735335129e-06,9.050317335025167e-07,42.82656864448016,2.5209526877057575
